u_norm,T_norm
0.839213882,3.17284898
0.842106816,3.14079575
0.845013708,3.10858909
0.847938934,3.07616874
0.850880652,3.04354878
0.853833519,3.01073417
0.856796529,2.97770509
0.859763249,2.94455101
0.862725207,2.9114547
0.865688668,2.87849264
0.868659159,2.84563775
0.871630593,2.81266702
0.874591568,2.7794014
0.877537009,2.74601318
0.880460189,2.71272447
0.883345559,2.67966073
0.886183028,2.64675374
0.888975354,2.61372199
0.891725361,2.580483
0.89443962,2.54726061
0.897137392,2.51446274
0.8998211,2.48214169
0.902465415,2.45015462
0.90505877,2.41852665
0.90761617,2.38739018
0.910144677,2.35658347
0.912645446,2.32607589
0.915126455,2.29602633
0.917590624,2.26616454
0.920038904,2.23611106
0.92245631,2.20581965
0.924824767,2.17554744
0.92713939,2.14570348
0.929410259,2.11631249
0.931652363,2.08713906
0.933884194,2.05808345
0.936115282,2.02931077
0.93833757,2.00095007
0.940527948,1.97308326
0.94268023,1.9456511
0.944801617,1.9184917
0.946872738,1.89159071
0.948882886,1.86517101
0.950836961,1.83961777
0.95274239,1.81477612
0.954613481,1.79011204
0.956467655,1.76537221
0.958301774,1.74050923
0.960101044,1.71581994
0.961858268,1.6918323
0.96357232,1.66849255
0.965245088,1.64564025
0.966879778,1.62337507
0.968486612,1.60152692
0.970071493,1.57988188
0.971627037,1.55834264
0.973143657,1.53698004
0.97461644,1.51585131
0.976045716,1.49511112
0.977429123,1.47488057
0.978767178,1.45498519
0.980076254,1.43524063
0.98135851,1.41568285
0.982594829,1.39638083
0.983781196,1.37731758
0.984921746,1.35843623
0.986012801,1.33982166
0.987051768,1.32160903
0.988035781,1.30390531
0.988970602,1.2868583
0.98985954,1.27041912
0.990699105,1.25445957
0.991490375,1.23890876
0.992240377,1.22367654
0.99295022,1.20873293
0.993617494,1.19412163
0.994240778,1.18002675
0.994819046,1.16655926
0.995353033,1.15370285
0.995850261,1.14149912
0.996313533,1.12996975
0.996743202,1.11904964
0.997135796,1.10854723
0.997487272,1.09841105
0.997797368,1.08878568
0.998071082,1.07978507
0.99831178,1.0713728
0.998520458,1.06349212
0.998702942,1.05625376
0.998866576,1.04979506
0.999014362,1.04407534
0.999145083,1.03891594
0.999256743,1.0342854
0.999351162,1.0302031
0.999432779,1.02659116
0.999504107,1.02333473
0.999565578,1.0203516
0.999618558,1.01767068
0.999666289,1.01535784
0.999710146,1.01340038
0.999750042,1.01171329
0.999786846,1.01023684
0.999821644,1.00894463
0.999853951,1.00778152
0.999882356,1.0067171
0.99990604,1.0057535
0.99992512,1.00489453
0.999940488,1.00415257
0.999952224,1.00350728
0.999960487,1.00293177
0.999964297,1.00013389
0.999964363,1.00013953
0.999964378,1.00012617
0.999964616,1.00011602
0.999964631,1.00014323
0.999965047,1.00010237
0.99996515,1.00014495
0.999965818,1.00008476
0.999965958,1.00014443
0.999966886,1.00241451
0.999966971,1.00014132
0.999967053,1.00006353
0.999968037,1.00013517
0.999968863,1.00003929
0.999969018,1.00012474
0.999969932,1.00010955
0.99997086,1.00009005
0.99997124,1.00001369
0.999971873,1.00006864
0.999972271,1.00195473
0.999972896,1.00004803
0.999973852,1.00002929
0.999974119,0.999988158
0.99997474,1.00001117
0.999975699,0.999993554
0.999976446,1.00155564
0.999976799,0.999977323
0.999977326,0.999963204
0.999978044,0.999962306
0.999979372,0.999945807
0.999979488,1.00121071
0.999980738,0.999939541
0.999980817,0.999925999
0.999981747,1.00090808
0.999982405,0.999903792
0.99998373,1.00065419
0.999984104,0.999884044
0.999984201,0.999918132
0.999985434,1.00045599
0.999985779,0.999869474
0.9999869,1.00029841
0.999987295,0.999860544
0.999987551,0.999900961
0.999988207,1.00016987
0.999988561,0.999855315
0.999989179,1.00006624
0.999989584,0.999853636
0.999989771,0.999980389
0.99999028,0.999911289
0.999990499,0.999855601
0.99999059,0.999890626
0.999990909,0.999859472
0.999991422,0.999863749
0.999991814,0.99982173
0.999992379,0.999879044
0.999993005,0.999798928
0.9999932,0.999887469
0.999993317,0.999900815
0.999994218,0.999925228
0.999994345,0.999793077
0.999995084,0.999948902
0.9999953,0.999888471
0.999995657,0.999795038
0.999995946,0.999968301
0.999996791,0.999981876
0.999996881,0.999796738
0.999996968,0.999888787
0.999997669,0.999989963
0.999998005,0.999799303
0.999998295,0.999885408
0.999998698,0.999995168
0.999999088,0.999804715
0.999999357,0.999879372
1.0,1.0
1.00000017,0.999814194
1.00000018,0.999873241
1.00000087,0.999867934
1.00000127,0.999826048
1.00000157,0.999863379
1.00000229,0.999860886
1.00000231,0.999837202
1.00000297,0.99986117
1.00000319,0.999846379
1.00000356,0.999862722
1.0000038,0.999854126
1.00000396,0.999862819
1.00000407,0.999859932
